Y;X;tourism;information;name;hiking;ele;direction_east:1;direction_north:1;direction_south:1;website;board_type;direction_west:1;direction_south:2;direction_east:2;fireplace;addr:street;direction_west:2;direction_north:2;addr:housenumber;addr:postcode;direction_south:3;phone;addr:city;direction_east:3;operator;direction_southwest:1;map_type;amenity;direction_northeast:1;map_size;description;direction_southeast:1;direction_southwest:2;direction_north:3;direction_west:3;direction_northwest:1;wheelchair;wikidata;direction_southeast:2;name:fr;direction_northeast:2;name:de;opening_hours;artwork_type;mtb;direction_northwest:2;direction_south:4;direction_east:4;direction_southeast:3;direction_southwest:3;addr:country;ref;internet_access;Column1;_1
46.820141;7.1004321;information;guidepost;Belfaux rte de Ch?sopelloz;yes;579;;;Le Moulin 00:30;;;Circuit de Belfaux 01:45;Ch?sopelloz Le Haut 00:35;;;;La Sonnaz;;;;Corminboeuf 01:00;;;;;;;;Ecole 00:10;;;;;;Bois des D?vins;;;;;;Gare tpf 00:15;;;;;;;;;;;;;;
46.8201165;7.1059755;information;board;Circuit de Belfaux;;;;;;;board;;;;;;;;;;;;;;;;;;;;Rundwanderung Belfaux;;;;;;;;;;;;;;;;;;;;;;;;
46.8203056;7.1059996;information;guidepost;Belfaux Ecole;yes;584;;;;;;;;;;;;;;;;;;;;Circuit de Belfaux 02:00;;;;;;;La Sonnaz;;;;;;;;;;;;;;;;;Bois des D?vins;;;;;
46.4735112;6.7959782;information;guidepost;St-Saphorin;;405;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46.4725603;6.7969031;information;guidepost;St-Saphorin;;383;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46.5170342;6.702997;information;guidepost;La Croix;;636;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46.5762694;6.8693905;information;guidepost;Saint-Martin;;833;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46.5737111;6.9274857;museum;;nufnuf-art fondation;;;;;;http://www.nufnuf-art.ch;;;;;;;;;;1623;;41786036999;;;;;;;;;;;;;;;;;;;;nufnuf-art stiftung;Su-We 14:00-20:00;;;;;;;;;;wlan;;
46.6248398;6.9941737;attraction;;Ch?teau de Vaulruz;;;;;;https://www.chateau-vaulruz.ch/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46.5019884;6.6853807;hotel;;H?tel Restaurant le Rivage;;;;;;;;;;;;;;;;1095;;;Lutry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46.5026709;6.6859093;hotel;;Le Bourg 7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46.5030164;6.6861955;gallery;;Caf? du Centre;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46.776566;6.7553321;information;guidepost;Vallon des Vaux;yes;500;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46.770895;6.7642669;information;guidepost;Ch?ne-P?quier;yes;632;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46.7753365;6.7589666;information;guidepost;Tour de St-Martin;yes;617;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46.7844075;6.7651385;information;guidepost;Rovray;yes;650;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46.7891331;6.7610456;information;guidepost;Vers le Laviau;yes;600;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46.7936738;6.7652476;viewpoint;;La Baumaz;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46.6213042;7.0154383;attraction;;Blumendeko;;;;;;;;;;;;Rue du Mol?son;;;41;1628;;;Vuadens;;Starrag Vuadens;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46.6675903;7.0113648;picnic_site;;Le Derbaly;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46.6744116;7.026734;information;guidepost;Sorens Camping;yes;1020;;Le Gibloux cr?te tour 00:40;Petit / Gros Prary 00:30;;;;Bulle 02:35;;;;;Vuisternens-en-Ogoz 00:02;;;Romont 03:40;;;;;;;;;;;;;Fribourg var.: Cr?te ou Sud 06:00;;;;;;;;;;;;;;;;;;;;;
46.6848994;7.0417982;information;guidepost;Le Gibloux;yes;1204;;;Sorens 00:30;;;;Bulle 03:05;;;;;;;;Romont 04:10;;;;;;;;Vuisternens-en-Ogoz 01:10;;;;;;;;;;;;Fribourg 05:20;;;;;;;;;;;;;;
46.6850861;7.0404788;picnic_site;;Fontaine ? Catillon;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46.5223346;6.6671356;information;guidepost;Val-Vert;;;Pully 00:45;;;;;;;La conversion gare 00:45;;;;;;;;;;Bossi?res 01:10;;;;;;;;;;;;;;;;;;;;;;;;Grandvaux Gare 01:50;;;;;;;
46.5224426;6.6720449;information;guidepost;Stand de Volson;;526;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46.5316361;6.6713727;attraction;;Arbre class?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46.5190137;6.6789414;information;citymap;Belmont;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46.5190145;6.6789687;information;guidepost;Belmont-sur-Lausanne;;619;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46.5712331;6.8267426;hotel;;H?tel de Ville;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46.5725971;6.8367118;information;guidepost;Oron-le-Ch?tel Gare;;700;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46.545772;6.8625554;information;guidepost;Ecoteaux;;766;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46.4860324;6.8303122;information;guidepost;Monts de Chardonne;;945;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46.5234638;6.716214;information;map;Lutry;;;;;;;;;;;;;;;;;;;;;;;street;;;city;;;;;;;;;;;;;;;;;;;;;;;;;
46.6460755;6.7854184;guest_house;;Les Neues;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46.6460755;6.7854184;guest_house;;Les Brits;;;;;;;;;;;;;;;;;;;;;;;;;;;?bernachtungsm?glichkeit f?r Pilger (B&B);;;;;;;;;;;;;;;;;;;;;;;;
46.565723;6.6926041;information;guidepost;Ch?let ? Gobet;;861;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46.5710519;6.6912148;information;guidepost;Mauvernay;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46.5813433;6.7064311;information;board;Borne des Trois Jorats;;;;;;;history;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46.5797717;6.7124325;attraction;;d?pot ingr?dients soupe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46.5823212;6.6915114;information;guidepost;Grandes C?tes;;848;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46.6903405;6.7540427;alpine_hut;;Buvette des Brigands;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46.4820785;6.9092771;information;map;Panorama;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46.4820522;6.9093067;information;sitemap;AstroPl?iades;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46.4820831;6.9095583;information;board;Les Pl?iades;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46.4820522;6.9096661;information;board;Les ?toiles prochent du Soleil;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46.4821945;6.9095223;information;board;Le groupe local des galaxies;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46.482046;6.9097739;information;board;Notre Galaxie;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46.4820924;6.9098503;information;board;Le sable de Jordanie;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46.4821759;6.9098144;information;board;Le microscope;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46.4822688;6.9098997;information;board;La Grande Ours;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46.4823832;6.9100345;information;board;Les syst?mes solaires ? la nouvelle ?chelle;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46.4822657;6.9103356;information;board;Les saisons;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46.4823183;6.9100705;information;board;Le t?l?m?tre;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46.4825596;6.9100435;information;board;Poids des plan?tes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46.4825379;6.9103086;information;board;Le cercle vertical;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46.4826864;6.9100795;information;board;Le syst?me solaire;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46.4822688;6.9104074;information;board;Le cude ? trois temps;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46.4823368;6.9104479;information;board;Le gnomon;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46.4829339;6.9105153;information;board;L'?clipse de soleil;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46.4832341;6.9098387;information;guidepost;Les Pl?iades;yes;1348;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46.48339;6.910587;information;sitemap;AstroPl?iades;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46.4913868;6.9190772;information;guidepost;Les Tenasses;;1230;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46.4941146;6.9201879;information;guidepost;Prantin;;1221;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46.6694937;6.793474;museum;;Musee Eugene Burnand;;;;;;http://www.eugene-burnand.ch;;;;;;Rue du Ch?teau;;;;;;;;;;;;;;;;;;;;;;Q27485218;;Musee Eugene Burnand;;;We; Sa-Su 14:00-18:00;;;;;;;;;;;
46.5496143;6.8729718;information;guidepost;Maracon;;824;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46.5639546;6.895344;information;guidepost;La Rogivue;;835;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46.7288161;6.9781655;picnic_site;;La table des chasseurs;;;;;;;;;;;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46.7374008;6.9876353;camp_site;;Bivouac dans les arbres;;;;;;http://www.bivouacdanslesarbres.ch/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46.6942499;6.9134182;hotel;;Terminus Hotel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46.6962888;6.9181432;hotel;;Hotel S. Georges;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46.6966455;6.9180554;hotel;;Hotel du Lion D'Or;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46.6975674;6.9179253;caravan_site;;Stellplatz;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Stellplatz;;;;;;;;;;;;;
46.7035711;6.932795;motel;;la poularde;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46.648157;6.6385215;motel;;Beauregard;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46.7093001;6.6883283;guest_house;;Educanes;;;;;;http://www.educanes.ch;;;;;;Route de Pailly;;;;1047;;;Oppens;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46.5090714;6.6604189;museum;;Mus?e d'art de Pully;;;;;;https://www.museedartdepully.ch/fr/accueil/;;;;;;Chemin Davel;;;2;1009;;;;;;;;;;;;;;;;;yes;Q27487121;;;;;We-Su 14:00-18:00;;;;;;;;;;;;
46.5109802;6.6596353;information;map;Promotion Pully Paudex Belmont-sur-Lausanne;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46.5036656;6.6722333;information;map;Panorama;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46.5057665;6.6710537;information;citymap;Paudex;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46.5074328;6.6718964;hotel;;H?tel du Ch?teau;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46.5065764;6.67334;information;citymap;Paudex;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46.5657794;6.7741703;information;guidepost;Servion Zoo;yes;775;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46.710674;6.8366884;attraction;;Ch?teau de Lucens;;;;;;https://www.chateaudelucens.ch/;;;;;;Rue du Ch?teau;;;;1522;;;Lucens;;;;;;;;;;;;;;;Q2969752;;;;;;;;;;;;;;;;;
46.8170213;6.7833519;guest_house;;B&B Kim Play;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46.8267378;6.8038585;viewpoint;;Vue sur la Grande Cari?aie;;;;;;http://www.grande-caricaie.ch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46.7687034;7.0663904;hotel;;Restaurant de l'Aigle Noir;;;;;;;;;;;;;;;;;;;;;;;;restaurant;;;;;;;;;yes;;;;;;;;;;;;;;;;;;
46.7688437;7.0664413;information;guidepost;Neyruz;yes;690;;Ros? 00:40;;;;;;;;;;Matran 01:15;;;;;;;;Ecuvillens par la Passerelle 00:55;;;;;;;Matran Centre commercial 00:45;Avry Centre commercial 00:55;;;;;;;;;;;;;;;;Ste-Apolline 01:35;;;;;
46.7797463;7.0744475;information;guidepost;Matran Bois de Chavigny;yes;667;La Cornache 00:15;Avry Centre commercial 00:15;Matran Centre commercial 00:20;;;;Ste-Apolline 01:25;Matran Village 00:30;;;;Fribourg Jura/Moncor 01:45;;;Fribourg Charmettes 02:20;;;;;;;;;;;;;Matran 00:30;;;;;;;;;;;;;Neyruz 00:45;;;;;;;;
46.7657397;7.0793565;information;board;Le ch?teau des Sires de Gl?ne;;;;;;;board;;;;;;;;;;;;;;;;;;;;Histoire des ruines du ch?teau;;;;;;;;;;;;;;;;;;;;;;;;
46.7664164;7.0815329;information;guidepost;La Gl?ne;yes;587;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46.777762;7.0756436;information;guidepost;B?tan;yes;;Bois des Morts 00:15;Bois de Chavagny 00:15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46.7769846;7.0882685;information;guidepost;Bois des Morts;yes;;;Matran Village;;;;;;;;;;Avry Centre commercial;;;;;;;;Neyruz;;;;;;Ste-Apolline 00:50;Ecuvillens par la Passerelle;Neyruz par Bois de Chavagny;;;;;Fribourg Charmettes;;;;;;;;;;Matran Centre commercial;;;;;;
46.7767259;7.0908764;information;guidepost;Matran Centre commercial;yes;625;;Matran Village 00:30;Ste-Apolline 00:50;;;;Fribourg Charmettes 01:50;;;;;Avry Centre commercial 00:50;;;Pont des Mu?ses 00:15;;;;;;;;;;;;;Neyruz 01:00;;;;;;;;;;;;;Matran Village 00:25;;;;;;;;
46.7771756;7.0921582;information;guidepost;La Quiou;yes;;;;Pont des M?eses 00:10;;;Bois des Morts 00:15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46.8975224;7.2170754;information;board;Auried;;;;;;;nature;;;;;;;;;;;;;;;;;;;;Naturschutzgebiet Auried;;;;;;;;;;;;;;;;;;;;;;;;
46.8974591;7.2171714;information;guidepost;Auriedsteg;yes;492;;Kriechenwil (R?seli);Staumauer (Schiffenen);;;;Gurmels;;;;;Liebistorf;;;Kleinb?singen;;;;;;;;Saanebr?cke-Laupen (Geradeaus bis zum Waldeingang);;;Laupen / Station;;Murten / Morat;;;;;Flamatt;;;;;;;;;;B?singen;;;;;;
46.8975476;7.2169232;information;guidepost;Auriedsteg;yes;492;;Kriechenwil (R?seli);Staumauer (Schiffenen);;;;Gurmels;;;;;Liebistorf;;;Kleinb?singen;;;;;;;;Saanebr?cke-Laupen (Geradeaus bis zum Waldeingang);;;Laupen / Station;;Murten / Morat;;;;;Flamatt;;;;;;;;;;B?singen;;;;;;
46.8972343;7.2178284;information;guidepost;Auriedsteg;yes;492;Laupen / Station 00:40;Kriechenwil (R?seli) 00:25;;;;;;Flamatt 02:10;;;;Liebistorf 00:50;;;;;;B?singen 00:25;;;;;;;;;;Murten / Morat 02:35;;;;;;;;;;;;;;;;;;;;;
46.9000106;7.2145423;information;board;Naturchutzgebiet;;;;;;;nature;;;;;;;;;;;;;;;;;;;;Pro Natura;;;;;;;;;;;;;;;;;;;;;;;;
46.8929764;7.2283552;information;guidepost;B?singen;yes;550;;Tuftera 00:10;;;;;;;;;;Laupen / Station 00:20;;;;;;;;Fendringen 00:40;;;;;;;Richterwil 01:25;;;Auried (Saanesteg) 00:20;;;;;;;;;;Kleinb?singen 00:40;;;;W?nnewil 01:20;;;;;
46.5067243;6.7699588;information;guidepost;Lac de Bret;yes;674;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46.515553;6.8165488;viewpoint;;Mont Chesau;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46.5734869;6.8504666;information;guidepost;Chesalles-sur-Oron;;792;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46.4899205;6.757409;information;guidepost;La Croix;;647;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46.5105455;6.7408172;information;guidepost;Tour de Gourze;;918;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46.8680455;7.1226914;information;guidepost;Courtepin Gare 576;yes;576;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46.9134035;7.1256897;information;guidepost;M?nchenwiler;yes;508;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46.9147846;7.1254761;information;guidepost;M?nchenwiler Chliholz;yes;495;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46.8670703;7.1120363;information;guidepost;Courtepin-Nord;yes;575;Courtepin-gare;;La Corbaz (Pt 683) 01:00;;;Chandossel 01:00;Fribourg/Freiburg 02:20;;;;Murten/Morat 03:00;;;;;;;;;;;;;;;;;;Avenches 02:30;;;;;;;;;;;;;;;;;;;;
46.8694949;7.1017661;attraction;;Piste d'a?romod?lisme Fribourg;;;;;;http://www.mg-fribourg.ch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46.9200683;7.0996574;information;guidepost;Schlacht-Denkmal;yes;441;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;no;;;;;;;;;;
